species,distribution,pdf_x,pdf_val
human,genextreme,17.73612224448898,3.1524142027284167e-06
human,genextreme,17.77610220440882,3.124975780161479e-06
human,genextreme,17.81608216432866,3.0978364590905966e-06
human,genextreme,17.8560621242485,3.070992324887964e-06
human,genextreme,17.89604208416834,3.0444395226840736e-06
human,genextreme,17.936022044088176,3.0181742563260056e-06
human,genextreme,17.976002004008016,2.992192787355985e-06
human,genextreme,18.015981963927857,2.9664914340100644e-06
human,genextreme,18.055961923847697,2.941066570236149e-06
human,genextreme,18.095941883767537,2.9159146247313456e-06
human,genextreme,18.135921843687377,2.891032079997831e-06
human,genextreme,18.175901803607218,2.866415471417113e-06
human,genextreme,18.215881763527054,2.8420613863421596e-06
human,genextreme,18.255861723446895,2.81796646320704e-06
human,genextreme,18.295841683366735,2.7941273906537274e-06
human,genextreme,18.335821643286575,2.7705409066756756e-06
human,genextreme,18.375801603206416,2.7472037977778065e-06
human,genextreme,18.415781563126256,2.724112898152543e-06
human,genextreme,18.455761523046093,2.701265088871615e-06
human,genextreme,18.495741482965933,2.678657297093221e-06
human,genextreme,18.535721442885773,2.6562864952843004e-06
human,genextreme,18.575701402805613,2.6341497004575233e-06
human,genextreme,18.615681362725454,2.612243973422689e-06
human,genextreme,18.655661322645294,2.5905664180523612e-06
human,genextreme,18.69564128256513,2.569114180561272e-06
human,genextreme,18.73562124248497,2.547884448799258e-06
human,genextreme,18.77560120240481,2.5268744515575417e-06
human,genextreme,18.81558116232465,2.5060814578879345e-06
human,genextreme,18.85556112224449,2.4855027764347952e-06
human,genextreme,18.895541082164332,2.465135754779457e-06
human,genextreme,18.93552104208417,2.4449777787968136e-06
human,genextreme,18.97550100200401,2.425026272023906e-06
human,genextreme,19.01548096192385,2.4052786950401836e-06
human,genextreme,19.05546092184369,2.385732544859206e-06
human,genextreme,19.09544088176353,2.36638535433162e-06
human,genextreme,19.13542084168337,2.347234691559102e-06
human,genextreme,19.175400801603207,2.328278159319066e-06
human,genextreme,19.215380761523047,2.309513394499977e-06
